옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
상패7통약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
상패7통약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
상패7통약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
상패7통약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
상패7통약수터	부적합
시민약수터	부적합
옥녀봉약수터	부적합
창말약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
보은약수터	부적합
시민약수터	부적합
옥녀봉약수터	부적합
창말약수터	부적합
88약수터	부적합
동암약수터	부적합
보은약수터	부적합
상패7통약수터	부적합
생골약수터	부적합
옥녀봉약수터	부적합
창말약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
상패7통약수터	부적합
시민약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
무지개약수터	부적합
보은약수터	부적합
상패7통약수터	부적합
생골약수터	부적합
소요산광장약수터	부적합
시민약수터	부적합
옥녀봉약수터	부적합
창말약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
상패7통약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
무지개약수터	부적합
보은약수터	부적합
상패7통약수터	부적합
시민약수터	부적합
옥녀봉약수터	부적합
창말약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
무지개약수터	부적합
보은약수터	부적합
상패7통약수터	부적합
소요산광장약수터	부적합
옥녀봉약수터	부적합
88약수터	부적합
동암약수터	부적합
만수약수터	부적합
무지개약수터	부적합
보은약수터	부적합
상패7통약수터	부적합
소요산광장약수터	부적합
소요산일주문약수터	부적합
옥녀봉약수터	부적합
물명당약수터	부적합
신송약수터	부적합
천경대약수터	부적합
옻샘약수터	부적합
개암	부적합
천의	부적합
대룡	부적합
대천	부적합
구룡산	부적합
습지원	부적합
율암	부적합
만수정	부적합
구룡천2	부적합
쌍봉	부적합
대모천	부적합
성지	부적합
실로암	부적합
옥수천	부적합
인수천	부적합
용두천	부적합
불국사	부적합
구룡천1	부적합
기알재	부적합
용봉약수터	부적합
관음사약수터	부적합
정선군 물안이골샘터	부적합
정선군 양지말샘터	부적합
성주산	부적합
송내	부적합
송학	부적합
춘덕	부적합
도당제2	부적합
영정천	부적합
한샘	부적합
성산약수터	부적합
봉서산약수터	부적합
각원사약수터	부적합
위례약수터	부적합
매봉약수터	부적합
신대약수터	부적합
황고개	부적합
생금우물	부적합
